id,url,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades ,Swimming pool,State of the building
10131191,https://www.immoweb.be/en/classified/apartment/for-sale/beerzel/2580/10131191?searchId=63393c0ebf09d,2580,APARTMENT,APARTMENT,299500,residential_sale,,67,INSTALLED,False,False,True,7,,,,,,,GOOD
10131239,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10131239?searchId=63393c0ebf09d,1000,APARTMENT,PENTHOUSE,480000,residential_sale,,100,USA_HYPER_EQUIPPED,True,False,True,50,,,,,2,,AS_NEW
10136628,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/10136628?searchId=63393c0ebf09d,1950,HOUSE,HOUSE,510000,residential_sale,,129,HYPER_EQUIPPED,False,False,True,10,True,515,714,714,3,False,TO_RENOVATE
10130181,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10130181?searchId=63393c0ebf09d,1040,APARTMENT,APARTMENT,590000,residential_sale,,170,SEMI_EQUIPPED,False,False,True,18,,,,,2,False,GOOD
10136103,https://www.immoweb.be/en/classified/villa/for-sale/wezembeek-oppem/1970/10136103?searchId=63393c0ebf09d,1970,HOUSE,VILLA,845000,residential_sale,,185,HYPER_EQUIPPED,False,False,True,10,True,600,614,614,4,False,GOOD
10137631,https://www.immoweb.be/en/classified/villa/for-sale/marke/8510/10137631?searchId=63393c0ebf09d,8510,HOUSE,VILLA,1450000,residential_sale,5,515,INSTALLED,False,True,,,True,,3781,3781,4,,GOOD
10140811,https://www.immoweb.be/en/classified/house/for-sale/obaix/6230/10140811?searchId=63393c0ebf09d,6230,HOUSE,HOUSE,249000,residential_sale,,190,INSTALLED,False,False,True,,True,1000,1250,1250,4,False,TO_BE_DONE_UP
10141228,https://www.immoweb.be/en/classified/house/for-sale/vance/6741/10141228?searchId=63393c0ebf09d,6741,HOUSE,HOUSE,249000,residential_sale,,387,SEMI_EQUIPPED,False,False,,,True,,427,427,3,,TO_RENOVATE
10142413,https://www.immoweb.be/en/classified/house/for-sale/evere/1140/10142413?searchId=63393c0ebf09d,1140,HOUSE,HOUSE,275000,residential_sale,,140,,False,False,,,True,32,112,112,2,False,TO_RENOVATE
10142219,https://www.immoweb.be/en/classified/house/for-sale/jette/1090/10142219?searchId=63393c0ebf09d,1090,HOUSE,HOUSE,530000,residential_sale,,203,NOT_INSTALLED,False,False,True,9,True,105,192,192,2,False,TO_RENOVATE
10142247,https://www.immoweb.be/en/classified/house/for-sale/kalmthout/2920/10142247?searchId=63393c0ebf09d,2920,HOUSE,HOUSE,595000,residential_sale,,185,INSTALLED,False,True,True,,,,1525,1525,4,,GOOD
10121168,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/uccle/1180/10121168?searchId=63393c0ebf09d,1180,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10076787,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/werchter/3118/10076787?searchId=63393c0ebf09d,3118,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10120695,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent-sint-denijs-westrem/9051/10120695?searchId=63393c0ebf09d,9051,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10120621,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10120621?searchId=63393c0ebf09d,1150,APARTMENT,APARTMENT,490000,residential_sale,,100,HYPER_EQUIPPED,False,False,True,7,,,,,2,False,AS_NEW
10135992,https://www.immoweb.be/en/classified/flat-studio/for-sale/woluwe-saint-lambert/1200/10135992?searchId=63393c0ebf09d,1200,APARTMENT,FLAT_STUDIO,145000,residential_sale,,23,INSTALLED,,False,,,,,,,,False,AS_NEW
10084879,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10084879?searchId=63393c0ebf09d,9890,HOUSE,HOUSE,325000,residential_sale,,144,HYPER_EQUIPPED,False,False,True,12,True,37,193,193,2,False,AS_NEW
10084878,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10084878?searchId=63393c0ebf09d,9890,HOUSE,HOUSE,325000,residential_sale,,144,HYPER_EQUIPPED,False,False,True,12,True,39,195,195,2,False,AS_NEW
10084880,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10084880?searchId=63393c0ebf09d,9890,HOUSE,HOUSE,339000,residential_sale,,144,HYPER_EQUIPPED,False,False,True,12,True,35,191,191,3,False,AS_NEW
10084877,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10084877?searchId=63393c0ebf09d,9890,HOUSE,HOUSE,345000,residential_sale,,152,HYPER_EQUIPPED,False,False,True,12,True,44,208,208,3,False,AS_NEW
9651402,https://www.immoweb.be/en/classified/house/for-sale/affligem/1790/9651402?searchId=63393c0ebf09d,1790,HOUSE,HOUSE,403950,residential_sale,,215,USA_HYPER_EQUIPPED,False,False,True,,,,321,321,3,False,AS_NEW
10129206,https://www.immoweb.be/en/classified/house/for-sale/berchem-sainte-agathe/1082/10129206?searchId=63393c0ebf09d,1082,HOUSE,HOUSE,595000,residential_sale,,313,HYPER_EQUIPPED,False,False,True,60,True,155,270,270,3,True,AS_NEW
10129702,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10129702?searchId=63393c0ebf09d,1650,HOUSE,HOUSE,695000,residential_sale,,180,INSTALLED,False,False,True,,,,1169,1169,4,,GOOD
10129695,https://www.immoweb.be/en/classified/house/for-sale/huizingen/1654/10129695?searchId=63393c0ebf09d,1654,HOUSE,HOUSE,695000,residential_sale,,180,INSTALLED,False,False,True,,,,1169,1169,4,,GOOD
10128557,https://www.immoweb.be/en/classified/villa/for-sale/blanden/3052/10128557?searchId=63393c0ebf09d,3052,HOUSE,VILLA,785000,residential_sale,,258,USA_HYPER_EQUIPPED,False,False,,,,,1120,1120,4,,GOOD
10128483,https://www.immoweb.be/en/classified/apartment-block/for-sale/jette/1090/10128483?searchId=63393c0ebf09d,1090,HOUSE,APARTMENT_BLOCK,849000,residential_sale,,200,SEMI_EQUIPPED,False,False,True,20,True,19,154,154,2,False,GOOD
10065530,https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/10065530?searchId=63393c145bdda,6870,HOUSE,HOUSE,99000,residential_sale,,193,NOT_INSTALLED,,False,True,,True,80,196,196,2,False,TO_RENOVATE
8819492,https://www.immoweb.be/en/classified/8819492,6900,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10141426,https://www.immoweb.be/en/classified/apartment/for-sale/amay/4540/10141426?searchId=63393c145bdda,4540,APARTMENT,APARTMENT,145000,residential_sale,,70,INSTALLED,False,False,True,12,,,,,,,GOOD
10049044,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/10049044?searchId=63393c145bdda,1083,APARTMENT,APARTMENT,210000,residential_sale,,80,NOT_INSTALLED,False,False,True,6,,,,,2,False,TO_BE_DONE_UP
10130967,https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/10130967?searchId=63393c145bdda,1160,APARTMENT,APARTMENT,322000,residential_sale,,66,USA_HYPER_EQUIPPED,False,False,True,10,,,,,,False,AS_NEW
10142210,https://www.immoweb.be/en/classified/apartment/for-sale/neder-over-heembeek/1120/10142210?searchId=63393c145bdda,1120,APARTMENT,APARTMENT,350000,residential_sale,,150,INSTALLED,False,False,True,12,,,,,2,False,GOOD
10130392,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10130392?searchId=63393c145bdda,9800,APARTMENT,APARTMENT,365000,residential_sale,,,HYPER_EQUIPPED,False,False,True,12,,,,,2,False,AS_NEW
10141258,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10141258?searchId=63393c145bdda,1030,APARTMENT,APARTMENT,950000,residential_sale,,240,USA_HYPER_EQUIPPED,False,False,True,15,True,60,,,2,,JUST_RENOVATED
10134388,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/10134388?searchId=63393c145bdda,4540,HOUSE,HOUSE,189500,residential_sale,,150,SEMI_EQUIPPED,False,False,True,,,,700,700,4,,TO_RENOVATE
10088030,https://www.immoweb.be/en/classified/flat-studio/for-sale/jette/1090/10088030?searchId=63393c145bdda,1090,APARTMENT,FLAT_STUDIO,210000,residential_sale,,60,USA_HYPER_EQUIPPED,,False,,,,,,,,,AS_NEW
